Date,Open,High,Low,Close,Volume
2011-12-19,22027,22100,21865,22017,32076
2011-12-20,22000,22175,21979,22153,22554
2011-12-21,22171,22317,22050,22099,32836
2011-12-22,22071,22150,21934,22010,24502
2011-12-23,22005,22100,21979,22062,12152
2011-12-24,22072,22086,22050,22078,2090
2011-12-26,22110,22110,21930,22049,7510
2011-12-27,22016,22016,21900,21913,15306
2011-12-28,21841,21929,21477,21558,13026
2011-12-29,21486,21538,20961,21206,10419
2011-12-30,21233,21729,21233,21672,6452
2011-12-31,21953,21953,21460,21555,2551
2012-01-02,21850,21891,21801,21875,9837
2012-01-03,21900,22184,21900,22103,36922
2012-01-04,22103,22254,22010,22236,49489
2012-01-05,22215,22260,22010,22222,46053
2012-01-06,22233,22316,22126,22185,43899
2012-01-07,22188,22190,22101,22183,2287
2012-01-09,22195,22195,22040,22053,32138
2012-01-10,22087,22087,21975,22019,32977
2012-01-11,22031,22146,22031,22104,25322
2012-01-12,22118,22215,22100,22122,22398
2012-01-13,22100,22100,21924,21941,29223
2012-01-14,21948,22009,21948,21993,2249
2012-01-16,21991,22048,21961,21975,13287
2012-01-17,22009,22185,22009,22055,29558
2012-01-18,22036,22046,21878,21976,31047
2012-01-19,21981,22035,21852,21899,22606
2012-01-20,21933,21989,21802,21957,25588
2012-01-21,21979,22010,21979,21986,2327
2012-01-23,22011,22067,21941,22003,24540
2012-01-24,21976,22015,21900,21922,15792
2012-01-25,21925,22065,21655,22017,26551
2012-01-27,22070,22280,22070,22256,21374
2012-01-28,22280,22289,22253,22274,2422
2012-01-30,22205,22299,22105,22277,6570
2012-01-31,22294,22375,22221,22302,3468
2012-02-01,22600,22662,22545,22570,22354
2012-02-02,22549,22655,22513,22623,23427
2012-02-03,22620,22660,22195,22223,44286
2012-02-04,22221,22221,22080,22179,6172
2012-02-06,22199,22274,22108,22196,25226
2012-02-07,22166,22520,22146,22499,34301
2012-02-08,22499,22555,22355,22382,31885
2012-02-09,22386,22589,22386,22494,28895
2012-02-10,22494,22540,22273,22426,30558
2012-02-11,22407,22437,22402,22422,1479
2012-02-13,22407,22434,22240,22309,24776
2012-02-14,22300,22363,22192,22276,23297
2012-02-15,22299,22410,22251,22337,21249
2012-02-16,22325,22356,22234,22304,18147
2012-02-17,22320,22356,22240,22256,14107
2012-02-18,22267,22290,22258,22279,1220
2012-02-20,22298,22349,22290,22309,2987
2012-02-21,22319,22479,22292,22458,24686
2012-02-22,22469,22618,22460,22574,17776
2012-02-23,22620,22799,22620,22787,18427
2012-02-24,22753,22753,22600,22612,13208
2012-02-25,22591,22643,22501,22599,3080
2012-02-27,22630,22699,22568,22620,6921
2012-02-28,22588,22800,22588,22750,3908
2012-02-29,22685,22796,22605,22693,2666
2012-03-01,22389,22426,22170,22323,40596
2012-03-02,22350,22428,22326,22378,22519
2012-03-03,22400,22411,22390,22397,1656
2012-03-05,22411,22472,22270,22333,24670
2012-03-06,22367,22402,22192,22253,29181
2012-03-07,22293,22333,22220,22287,19226
2012-03-08,22303,22369,22303,22336,6621
2012-03-09,22351,22385,22060,22344,41715
2012-03-10,22350,22358,22320,22331,2423
2012-03-12,22348,22389,22275,22319,23619
2012-03-13,22348,22349,22181,22231,20491
2012-03-14,22222,22222,21910,21949,37822
2012-03-15,21940,22144,21854,22119,24683
2012-03-16,22104,22400,21931,22201,40449
2012-03-17,22220,22237,22190,22214,2084
2012-03-19,22235,22265,22155,22232,15660
2012-03-20,22200,22224,22135,22168,16161
2012-03-21,22199,22250,22155,22190,13016
2012-03-22,22197,22235,22155,22227,16453
2012-03-23,22217,22408,22201,22396,22036
2012-03-24,22390,22409,22364,22382,2341
2012-03-26,22380,22575,22375,22561,23730
2012-03-27,22542,22790,22456,22738,17774
2012-03-28,22662,23300,22662,22752,12712
2012-03-29,22728,22862,22720,22809,2842
2012-03-30,22832,22968,22581,22655,3271
2012-03-31,22600,22745,22310,22353,1199
2012-04-02,22649,22685,22571,22644,15482
2012-04-03,22626,22658,22550,22563,15264
2012-04-04,22550,22550,22177,22226,37138
2012-04-05,22250,22340,22250,22300,7339
2012-04-07,22310,22395,22310,22391,2635
2012-04-09,22365,22505,22365,22459,18166
2012-04-10,22470,22668,22445,22651,21541
2012-04-11,22630,22680,22596,22623,13340
2012-04-12,22605,22735,22576,22715,15101
2012-04-13,22700,22765,22591,22616,19597
2012-04-14,22700,22765,22591,0,19597
2012-04-16,22622,22649,22518,22605,19618
2012-04-17,22602,22636,22505,22583,23397
2012-04-18,22606,22783,22592,22774,25672
2012-04-19,22746,23274,22733,22947,77535
2012-04-20,23020,23073,22934,23005,10445
2012-04-21,23000,23048,23000,23035,1284
2012-04-23,22980,23070,22970,23048,7886
2012-04-24,23040,23147,23040,23079,9130
2012-04-25,23079,23180,23015,23163,8288
2012-04-26,23150,23300,23120,23276,6438
2012-04-27,23299,23379,23075,23113,6357
2012-04-28,22857,23800,22857,23133,1501
2012-04-30,23133,23377,23050,23228,3109
2012-05-01,23260,23339,23223,23243,9270
2012-05-02,23250,23329,23210,23280,15965
2012-05-03,23280,23316,23232,23279,13791
2012-05-04,23286,23333,23202,23277,16110
2012-05-05,23280,23300,23266,23277,1732
